剧名,集数,制作,首播,主演,题材
暗恋橘生淮南,24,2017,6月10日 腾讯视频,朱颜曼滋、赵顺然,青春
当她恋爱时,30,2018,6月11日 优酷,何花、王瑞昌,都市
我的盖世英雄第一季,12,2018,6月14日 爱奇艺,任宥纶、廖语辰、卢东旭、章乐韵,青春
我的盖世英雄第二季,12,2018,6月14日 爱奇艺,任宥纶、廖语辰、卢东旭、章乐韵,青春
我的白鲸男友,24,2018,6月19日 爱奇艺,李俊辰、王瑛瑛,悬疑
站在你的角度看我第二季,12,2018,6月19日 爱奇艺,朱圣祎、王关彭、徐晗,都市
我心深触,28,2018,6月19日 腾讯视频,周澄奥、王可如、李茂、崔心心,悬疑
火爆天王,24,2017,6月24日 腾讯视频,谭学亮、陈衍利,都市
陈情令,50,2018,6月27日 腾讯视频,肖战、王一博、孟子义、宣璐,古装
嘿！客栈,16,2017,6月27日 优酷/爱奇艺,吴浩、许歌、孙逸仁、王骊亚、高宇航,都市
超级影后之初次做人,12,2018,6月28日 爱奇艺,朱一文,都市
热搜女王,15,2018,7月4日 搜狐视频,李昕岳、王祉萱、刘贾玺、张馨比、丹尼斯·吴、瞿颖、徐开骋,都市
天雷一部之春花秋月,40,2018,7月5日 优酷,李宏毅、赵露思、吴俊余,古装
超级玩家,12,2017,7月8日 爱奇艺,田雷、逯子,古装
再见，将来,12,2018,7月9日 爱奇艺,罗彬、李萌萌、张敬言、王永超,都市
少年江湖物语,24,2018,7月10日 爱奇艺,周彦辰、骆明劼,古装
那年夏天有风吹过,27,2018,7月11日 芒果TV,蔡尧、朱玉、刘育同、孟子荻、冷心清（客串:邓宁）,都市
诊室疯云,20,,7月15日 优酷,陈一、王培祎、刘梦梦,都市
天真派西游记,16,2018,7月15日 腾讯视频（首播），7月25日 金鹰卡通卫视（上星）,葛奕德、段智文、万君逸、董家忱,古装
无主之城,24,2018,7月24日 爱奇艺,杜淳、刘奕君、许龄月、代旭,悬疑
全职高手,40,2018,7月24日 腾讯视频,杨洋、江疏影、赖雨濛、赖艺、李沐宸,青春
你的未来已签收,12,2018,7月30日 优酷,孙旸、崔奕、杨铭,都市
我的单板女孩第一季,12,2018,7月31日 爱奇艺,李川、康宁,都市
唯美貌不可辜负,24,2018,7月31日 爱奇艺,高泰宇、辛瑞琪、胡浩博,都市
凸变英雄BABA,8,2019,8月3日 Bilibili,衣云鹤、高煜霏,科幻
谋爱上瘾,24,2018,8月12日 爱奇艺,陈艳茜、蒙恩、祖怀、杜雯静,都市
我的邻居睡不着,24,2018,8月13日 优酷,陈怡馨、王子鑫、马雪阳,都市
极限17：羽你同行,12,2019,8月13日 腾讯视频/芒果TV,梁靖康、杨超越,春青
食分喜欢你,20,2019,8月15日 芒果TV,陈博豪、屠芷莹、晏紫东,都市
我的单板女孩第二季,12,2018,8月15日 爱奇艺,李川、康宁,都市
蛋黄人,12,2016,8月16日 爱奇艺,林柏宏、虞朗、于翔、陈碧舸、高至霆、范立美、万国鹏,科幻
外星女生柴小七,28,2018,8月19日 腾讯视频,徐志贤、万鹏、杨玥、王宥钧、李铭顺、张萌,科幻
金斩，有何贵干？,12,2019,8月20日 腾讯视频,谢兴阳、叶盛佳,青春
走进你的记忆,24,2018,8月21日 腾讯视频,赵志伟、宋妍霏、钟祺、汪卓成、吴恙、魏巍,青春
象限之眼,12,2018,8月26日 爱奇艺,郭万超、廖越,悬疑
九千米爱情,24,2018,8月29日 腾讯视频,王以纶、李婷婷,青春
伪钞者之末路,24,2018,9月3日 爱奇艺,吴优、李卓阳、郝平,悬疑
你是我眼中的山川和海洋,24,2018,9月3日 优酷,黄圣池、樊治欣,青春
命悬一线的浪漫,12,2017,9月6日 爱奇艺,李汶翰、苏梦芸,都市
飞虎之雷霆极战,30,2018,9月6日 优酷,苗侨伟、黄宗泽、吴卓羲、李·佩斯、马国明、吴启华,涉案
极限17：滑魂,12,2019,9月10日 腾讯视频/芒果TV,郭子凡、邓恩熙,春青
我是班主任,13,2019,9月10日 优酷,喻恩泰、贾梓媛、常仕欣、王俊凯、关晓彤、柳岩、陈月末、岳跃利,春青
湾湾暖辰光,13,2018,9月11日 爱奇艺,何佳颖、周晨晞、朱俊麟,都市
失恋疗养院,12,2019,9月18日 爱奇艺,盖玥希、裴子添、贾宗超、胡丹丹（客串:蒋毅、徐申东）,都市
哪里有彩虹告诉我,31,2018,9月20日 芒果TV,李海娜、侯东、朱涵驿,都市
国民老公2,26,2019,9月23日 腾讯视频,熊梓淇、赖雨濛、虞祎杰、陈姝君、陈诗敏,都市
极限17：扣杀,12,2019,9月24日 腾讯视频/芒果TV,朱致灵、徐梦洁、邱虹凯,春青
青柠男女第一季,12,2017,9月24日 爱奇艺,王燕阳、徐晓璐、孙伟豪、赵文龙,都市
上锁的房间,26,2018,9月26日 优酷,金世佳、啜妮、陈奕龙、肖顺尧,悬疑
外貌至上主义,38,2019,9月26日 腾讯视频,张大大、朴所罗门、王子璇、李玉玺,青春
门风传(第一部),13,2019,9月30日 爱奇艺,潘兴源、马小雅、高泽群,乡土
别碰我心底的小柔软,20,2018,10月7日 腾讯视频/优酷/芒果TV,易恒、辛瑞琪、倪言、蔡宜达,青春
我不能恋爱的女朋友,28,2018,10月8日 优酷,许魏洲、乔欣、周艺轩、王嘉宁、王亮、张沐莀、王嘉宁、徐洁儿、姬天语,青春
青柠男女第二季,12,2017,10月9日 爱奇艺,王燕阳、徐晓璐、孙伟豪、赵文龙,都市
满满喜欢你,32,2018,10月10日 腾讯视频/芒果TV,鲁照华、刘昱晗,青春
明月照我心,36,2019,10月14日 腾讯视频,方逸伦、凌美仕、张博涵（客串:张天霖、陶珞依）,古装
进击的实习生2：网红计划,10,2018,10月14日 IPTV熊猫体娱,程泓鑫、王奕嘉、李波、曹欣悦、马嘉伟,青春
竹马钢琴师,28,2018,10月17日 优酷/芒果TV,方逸伦、金雯昕、文苡帆、李梦颖,都市
没有秘密的你,32,2019,10月17日 腾讯视频,戚薇、金瀚、王阳明、黄梦莹、黄一琳,都市
蜀汉酒楼,12,2018,10月18日 爱奇艺,许君聪、代文雯、傅迦、王嘉宁、梁杰理、黄新皓、谢祖武,古装
时空来电,32,2018,10月23日 腾讯视频,李小冉、杜淳、王天辰,悬疑
水墨人生,24,2019,10月25日 爱奇艺,吕小雨、冯荔军、李莎旻子、白力嘎、陈梦希、王迩忆璇、刘泽庭,民初
生活对我下手了2,40,2019,10月28日 爱奇艺,辣目洋子（客串:赵天宇、阿云嘎、冯建宇、周彦辰、董力、于小彤、白客）,都市
御狐之绊第一季,12,2017,10月29日 爱奇艺,冯铭潮、张籽沐、杨恭如、李彩桦、邢恩、张明明,科幻
恋恋江湖,24,2018,10月30日 爱奇艺,姜贞羽、杨仕泽、徐凯鑫、何宜谦、李嘉豪,古装
最强狂兵,20,2018,10月31日 优酷,于跃、张澎澎、关亚军、王霏、安雅萍、薛景瑞（客串:傅程鹏）,涉案
白狐的人生,24,2017,11月4日 腾讯视频,郭俊辰、鲁照华,科幻
爱的着陆,22,2017,11月6日 腾讯视频,何索、陈赛赛,青春
荆棘鸟,5,,11月7日 搜狐视频,杜秀军、李祖瀛,都市
大学宿舍生活,12,2018,11月7日 爱奇艺,李菁菁、刘向京、王水林、王能、李嘉鑫、厉蔺菲、黄文滨、王金轩、郝明奇、周雨辰,青春
从前有座灵剑山,37,2018,11月12日 爱奇艺/腾讯视频,许凯、张榕容、朱元冰、高雨儿、郭晓婷,古装
异域档案之暹罗密码,24,2017,11月13日 腾讯视频,谢彬彬、王洋、许绍雄、曾江、骆达华、洪诗（客串:骆应钧）,悬疑
弘孝客栈,14,2019,11月14日 搜狐视频,詹欣岚、谢亚柯、唐天一,古装
心灵法医,36,2018,11月18日 爱奇艺,聂远、宋轶、芦芳生、张庭菲、郭耘奇、张光北、于明加,悬疑
半城明媚半城雨,24,2018,11月25日 爱奇艺,杨馥羽、林世杰、赵诚宇、陈叶玲（客串:张天霖）,民初
不思异：录像,11,,11月26日 Bilibili,邢昀、孙一明、孙嘉俊、李菁、吴彦琦、王辰昊、刘巴特尔、季丹妮、越娜、张帆、李博洋、李东则,悬疑
未经安排的青春,29,2018,11月29日 优酷,黄宥明、余昊洋、张芮晴、周历杰、子望、叶思伟,青春
一夜新娘,24,2019,11月30日 芒果TV,袁昊、易柏辰、赵昭仪,古装
你是我的奇迹,23,2018,12月2日 腾讯视频,季肖冰、龚婉怡,都市
御狐之绊第二季,12,2017,12月3日 爱奇艺,冯铭潮、张籽沐、奚美娟、方晓莉、金美伶,科幻
天机十二宫,24,2019,12月4日 爱奇艺,宋文作、胡意旋,古装
反骗天下,24,2018,12月4日 腾讯视频,高仁、肖宇梁、范梦、刘洋、保剑锋,悬疑
不知东方既白,24,2019,12月5日 腾讯视频/搜狐视频,王仁君、张静静、余玥、宋一雄、沈建宏,律政
惹不起的殿下大人,30,2019,12月7日 腾讯视频/芒果TV,唐晓天、黄日莹、吕昀峰、林枫松、陈柏融,古装
天使的眼睛第一季,12,2017,12月12日 爱奇艺,宣璐、王羽铮、杨奇鸣,科幻
梦回,40,2018,12月14日 腾讯视频,李兰迪、王安宇、辛云来、孙安可,古装
身为一个胖子,24,2019,12月18日 芒果TV,张轩睿、戚砚笛、马梦唯、邱柏皓,都市
青春，我们不一样,12,2018,12月23日 爱奇艺,叶梓靖、徐源、史佩瑶、林立浩,青春
隔壁的兄弟很和睦,30,2019,12月23日 爱奇艺,黄艺馨、徐晗、金博,都市
拜托，请你爱我,24,2019,12月23日 芒果TV,张雨剑、许晓诺、高瀚宇（客串:赵志伟）,都市
淑女飘飘拳,24,2018,12月25日 优酷,毕雯珺、孙千、丁泽仁、贾征宇（客串:高雄、九孔、陈秀珠、楼学贤、佐藤宽太）,青春
边境线之冷焰,24,2018,12月26日 腾讯视频,李雅男、甘露、苏可、傅天骄,悬疑
逆青春第二季,15,,12月26日 爱奇艺,孟彦森、张潘靓子、马倩倩,青春
天使的眼睛第二季,12,2017,12月27日 爱奇艺,宣璐、王羽铮、杨奇鸣,科幻
我们的留学日志,12,,12月27日 芒果TV,金帅男、罗媞、赖嘉豪,都市
金枝玉叶,6,2018,12月31日 Netflix,王一哲、王鹤润、王宇威、许晓诺,古装
G12特别行动组——未来战士,25,2013,1月3日 优酷,任天野、牛丽燕、张笑君、魏辰妃、李岷城,军旅
启航,36,2018,1月9日 央视一套,果靖霖、姚刚、梁植、程愫、甘雨（客串:刘威、翟万臣）,改革
天衣无缝,46,2017,1月10日 江苏/浙江卫视,秦俊杰、徐璐、陆毅、胡海锋、张芷溪、朱刚日尧、莫小奇、丁勇岱、丁海峰（客串:吴秀波、胡静、吴越、李乃文、赵韩樱子、吴刚、许亚军、李建义、刘威葳、钱泳辰、高露、谭凯）,革命
欢喜盈门 / 富贵盈门,42,2018,1月20日 南京教育科技频道（首播），9月4日 安徽卫视（上星）,潘长江,乡土
无名卫士 / 忠诚卫士,42,2016,1月20日 上海新闻综合频道（首播），5月31日 央视八套（上星）,李乃文、张晞临、叶静、胡丹丹（客串:颜丹晨）,革命
上将洪学智,30,2013,1月21日 央视八套,姚刚、张晶晶、李大昕、王伟志,革命
温暖的村庄,40,2017,1月23日 沈阳新闻综合频道（首播），1月27日 山东/宁夏卫视（上星）,王佑硕、赵圆瑗、丁海峰、岳红、范雷、谢园、黑妹、来喜（客串:范明、谢孟伟）,乡土
迷线,35,2014,1月25日 安徽影视频道,吴健、赵燕国彰、王强,涉案
天下无诈,40,2017,1月30日 北京卫视,郭晓东、徐悦、王茜、付嘉、巴图、薛皓文、戚九洲、丁志城、晏紫东（客串:董勇、艾丽娅、黄曼、刘亚津、孙茜、刘威、柳岩、林雪、徐少强、李勤勤、杨立新、高捷）,涉案
大明湖畔有人家第二季,20,2018,2月5日 济南新闻综合频道,小济南、小云,改革
国宝奇旅,42,2017,2月6日 浙江/江苏卫视,刘烨、袁姗姗、张瑞涵,抗战
风雨上海滩,30,2009,2月15日 湖北综合频道,张歆艺、靳东、孟瑶、齐奎,年代
红鲨突击,49,2018,2月17日 江阴电视台新闻综合频道（首播），11月4日 河南/广西卫视（上星）,唐曾、战菁一、李东恒、杨梓墨,革命
家道颖颖第一部：坐绿皮车回家,4,,2月18日 央视一套(17:20),,生活
老中医,63,2017,2月21日 央视一套,陈宝国、冯远征、许晴、陈月末、南吉、张志忠、曹可凡、丁嘉丽（客串:倪大红、王雷）,当代
觉醒,47,2017,2月21日 东方电影频道（首播），2020年6月26日 黑龙江卫视（上星）,曹磊、温峥嵘、侯长荣、赵文琪,抗战
芝麻胡同,55,2018,2月22日 北京/东方卫视,何冰、王鸥、刘蓓、冯文娟、侯煜、毕彦君、方子哥,乡土
冷案,30,2017,3月4日 腾讯视频,李媛、施诗、王雨、陈牧扬（客串:李诚儒、王庆祥、程煜、杨新鸣、娟子）,涉案
龙潭双枪,42,2018,3月5日 江苏城市频道,奚望、何奉天,谍战
谍海追踪,38,2017,3月7日 镇江电视台三套（首播），2020年11月15日 重庆卫视（上星）,张倬闻、李琳、张雯、牟凤彬,谍战
枪口之火线孤城,41,2017,3月7日 泰州一套,吴樾、肖茵、王婉中（客串:颜丹晨）,谍战
有个地方叫马兰,32,2015,3月10日 央视八套,宋运城、马竟,传奇
天网行动,35,2012,3月12日 优酷,霍政谚、朱研、谭峰、朱一龙、董妮娜,涉案
红,40,2017,3月18日 深圳电视剧频道,程皓枫、尹航,抗战
共产党人刘少奇,46,2017,3月19日 央视一套,赵波、侯京健、夏德俊、徐百卉,传奇
大哥 / 一路上有你,48,2018,3月19日 上海电视剧频道（首播），2020年12月24日 重庆卫视（上星）,李健、徐百卉（客串:沈丹萍）,生活
燕阳春,48,2017,3月20日 常州新闻综合频道（首播），4月4日 山东卫视（上星）,徐百卉、刘牧,年代
铜鼓密码,35,2017,3月26日 江苏城市频道,代超、刘洁涵、王菁华、闪蓝桥、李艳冰、张一鸾,抗战
老虎队,50,2018,3月31日 上海新闻综合频道（首播），6月14日 央视八套（上星）,李健、王珂、王新军、韩宇辰,革命
晨阳,24,2017,4月9日 爱奇艺,杨仕泽、蔡知辰、冯建宇、吕星辰,涉案
风雨老字号,42,2017,4月12日 江苏城市频道,李幼斌、齐志鹏、隋俊波、张光北、孙松、史兰芽,年代
因法之名,45,2016,4月14日 北京卫视,李幼斌、李小冉、张丰毅、石天琦、马晓伟、马少骅、陈锐、史兰芽、王骁、隋栐良、李岷城,涉案
永远的战友,28,2016,4月22日 央视一套,黄薇、刘劲、王馥荔、马晓伟（客串:唐国强、王伍福）,革命
航勒村的故事,26,2016,4月22日 新疆广播电视台三套,,乡土
火神,43,2017,4月23日 上海新闻综合频道,朱泳腾、隋俊波、高明、张晞临、丁海峰,革命
反恐特战队之天狼,48,2018,4月30日 爱奇艺,杨旭文、代斯、魏晨、周庭伊、李幼斌、石兆琪,军旅
尖刀之风雷诀,45,2017,5月6日 山东齐鲁频道,徐佳、王婷、赵毅、卢星宇、姜超、牛北壬（客串:黑子）,抗战
我和我的儿女们,36,2018,5月7日 上海电视剧频道（首播），9月14日 央视八套（上星）,吕凉、徐囡楠,生活
破冰行动,48,2018,5月7日 爱奇艺（首播），5月10日 央视八套（上星）,黄景瑜、吴刚、王劲松、任达华（客串:高明、骆应钧）,涉案
一言九鼎,56,2017,5月10日 重庆影视频道,初鹏旭、刘畅、斯琴高丽（客串:左小青）,年代
多彩庄家院,40,2016,5月10日 舒兰电视台新闻综合频道,郭旺、王晓曦,乡土
我怕来不及,60,2018,5月14日 河北农民频道（首播），11月30日 央视八套（上星）,唐曾、徐小飒（客串:梅婷）,乡土
计中计,45,2016,5月15日 上海新闻综合频道,樊霖锋、蒋方婷、谢君豪,谍战
麦香,36,2018,5月18日 央视一套,傅晶、章贺,改革
警官王快乐,40,2018,5月21日 徐州经济生活频道（首播），2022年1月13日 北京卫视（上星）,海一天、黄婧、张光北、刘佩琦,生活
一碗沧桑,34,2017,5月22日 江苏城市频道,富大龙、孙茜、凌潇肃、张晞临,年代
红腰鼓,45,2018,6月5日 沈阳经济频道,程铮、林江国、王玲玲、朱泳腾、王志远、赵亮、马京京,抗战
热血芳华,44,2016,6月8日 江苏城市频道,钱泳辰、刘芊含、王文娜、刘鑫、陈伟栋、何云龙、寇振海,革命
读心探案,28,2011,6月10日 爱奇艺,刘晓晔、孙浩洋（客串:刘涛）,涉案
共和国血脉,46,2017,6月12日 央视一套,王聪、蒋方婷、任程伟,改革
平安扣,35,,6月18日 宁波新闻综合频道,曹磊、马师红,涉案
乡亲乡爱,40,2015,6月19日 优酷,范伟、刘冠言 、潘小样、黑妹,乡土
神犬小七3,43,2016,6月27日 爱奇艺/腾讯视频,姜潮、宋妍霏、王洋,军旅
锻刀之绝地重生,44,2017,6月30日 泰州一套（首播），12月18日 央视八套（上星）,徐僧、冯文娟、刘敏、郝荣光、刘雨鑫、唐国忠,革命
猎手,40,2018,7月3日 南京新闻综合频道（首播），2020年8月23日 央视八套（上星）,李思博、钱迪迪、于震、李健、石兆琪,革命
可爱的中国,39,2018,7月4日 央视一套,林江国、缪婷茹（客串:唐国强、印小天、郭广平、黄品沅、宗峰岩、黑子）,革命
花开时节,32,2017,7月11日 央视八套,陈冠英、孙萍丽,乡土
在桃花盛开的地方,33,2015,7月21日 央视八套,丁柳元、刘之冰、丁勇岱、王姬、岳红、孙维民,乡土
铁家伙,37,2018,7月23日 云南都市频道,王挺、刘一含（客串:丁志诚、石兆琪）,抗战
黄金大劫案,29,2013,7月25日 上视新闻综合频道,杜淳、马苏,年代
版纳风云,39,2017,7月26日 北京影视频道,印小天、孟丽、于荣光、朱晓渔、陈龙、徐少强（客串:唐国强、刘劲、王伍福）,革命
特赦1959,39,2018,7月29日 央视一套,张铎、奚望、曹克难、高一玮、赵恒煊、肖荣生（客串:孙维民、马晓伟、翟万臣）,年代
兰桐花开,46,2018,8月1日 央视八套,闫学晶、吴京安、来喜、齐志鹏、李君峰、何翯、马歌、雷恪生,乡土
好汉,39,2017,8月14日 江苏城市频道,刘恩佑、魏震、乔乔、奚望、黑子、梅俪儿、谭建昌、黎明明、高明,谍战
战地迷情,52,2017,8月15日 央视八套,于波、高曙光、吴千语、刘德凯,谍战
进错门的女人,34,2013,8月15日 天津文艺频道,刘佩琦、田丽、方青卓,乡土
善始善终,42,2018,8月21日 爱奇艺,秦俊杰、孙铱、薛皓文、尹子维,涉案
女马帮,32,2010,8月24日 陕西卫视(午夜),刘小锋、沈佳妮,抗战
老酒馆,42,2018,8月26日 北京/广东卫视,陈宝国、秦海璐、冯雷、刘桦、程煜、冯恩鹤、巩汉林、方清平、牛犇、石兆琪、白志迪、曹可凡、张晞临、陈月末（客串:王晓晨、袁姗姗）,年代
伟大的转折,38,2019,8月26日 央视一套,侯京健、许敏、王韦智、吴佟,革命
陆战之王,52,2017,8月26日 浙江/东方卫视,陈晓、王雷、吴樾,军旅
勇敢者,36,2017,8月26日 厦门新闻频道,曹征、陈洁、申军谊,革命
暴风骤雨,50,2015,9月2日 江苏城市频道,张若昀、高洋、钱枫、姚安濂、孙怡、彦晰、杨舒婷,革命
陇原英雄传,36,2017,9月8日 南通新闻综合频道,任天野、陈维涵、张洪睿、齐芳、常荻、赵波、解惠清、高峰、杜志国、侯天来、张光北,革命
小镇警事,40,2018,9月13日 枣庄公共频道（首播），2020年8月12日 央视八套（上星）,张国强、李琦、李博、于月仙,乡土
空降利刃,48,2018,9月15日 江苏卫视,贾乃亮、邢佳栋、李纯、张赫、李岷城,军旅
遍地阳光,36,2013,9月16日 腾讯视频,吴健、陈维涵、高明,都市
外交风云,48,2018,9月19日 北京/广东卫视,唐国强、孙维民、郭连文、王伍福、卢奇、谷伟、黄薇、王雅捷（客串:董勇 、刘恺威、徐百慧、杨童舒）,传奇
飞行少年,36,2017,9月23日 爱奇艺/腾讯视频（首播），9月25日 安徽/深圳卫视（上星）,严屹宽、范世琦、孙铱（客串:闫妮、周小斌）,军旅
激情的岁月,36,2019,9月23日 央视一套,李光洁、高露、李健,改革
国家孩子,44,2018,9月26日 央视八套,傅程鹏、徐洪浩、杨舒、王梓桐、刘小锋、熊睿玲、卢勇、霍尔查、赵思源,乡土
掩不住的阳光,43,2013,10月5日 东方电影频道下午（首播），11月6日 央视八套（上星）,吴其江、金晨、刘之冰、聂远（客串:刘佩琦、王庆祥、刘劲、卢奇）,革命
学警旋风,30,2017,10月8日 腾讯视频/芒果TV,刘潮、隋雨蒙（客串:侯天来、李成儒）,涉案
光荣时代,46,2019,10月13日 江苏/北京卫视,张译、黄志忠、潘之琳、薛佳凝、张隽溢、王骁,革命
一马三司令,34,2017,10月16日 央视八套,张明健、李君峰、吴其江、何林翰、杨轶然、李幼斌、刘之冰,抗战
谍战深海之惊蛰,45,2019,10月22日 湖南卫视金鹰独播剧场,张若昀、王鸥、孙艺洲、阚清子、王泷正、于小伟,抗战
奔腾年代,46,2019,10月24日 浙江/东方卫视,佟大为、蒋欣、赵达、梁爱琪、徐小飒、李解、白冰、白志迪、朱茵,改革
希望的大地,37,2019,10月25日 央视一套,杨峥、姜妍、印小天、菅纫姿、李雪健、林江国、宗峰岩、徐佳、张博宇、斓曦（客串:林永健、巫刚、刘佳、黄品沅）,改革
河山,50,2018,11月6日 北京卫视,王新军、秦海璐、张嘉译、辛柏青、尤勇、赵亮（客串:李雪健、石兆琪）,革命
归鸿,39,2017,11月6日 江苏卫视,凌潇肃、刘一含、富大龙、邵峰、陈逸恒、冯恩鹤、石天琦,革命
苦菜花,44,2018,11月13日 辽宁经济频道,王红舟、张颖、李琳、陶红、郭家铭,革命
向往的生活,35,2016,11月17日 威海新闻综合频道（首播），2021年1月1日 广东卫视（上星）,张国强、傅晶、郭家铭、张雯,乡土
都是一家人,34,2017,11月19日 央视八套,林永健、郭达、梅丽古力·艾合买提（客串:侯勇、杨童舒）,改革
漫长的告别,22,2018,11月22日 优酷,周峻纬、何晟铭、蒲巴甲、习雪,涉案
我哥我嫂,57,2018,11月26日 扬州二套（首播），2020年3月28日 央视八套（上星）,王雅捷、王挺、王丽云、周扬、吴其江,年代
海之谣,45,2017,11月26日 济南新闻综合频道,黄曼、万思维、赵峥,年代
红色巨塔,41,2016,12月1日 宁波新闻综合频道,金铭、赵锦焘、梁又琳、魏兆雄、徐海为,改革
绝地反击,43,2017,12月5日 深圳电视剧频道（首播），2020年10月30日 山东卫视（上星）,王新、阿丽亚,抗战
青谷子,40,2015,12月6日 江苏城市频道（首播），2021年2月9日 黑龙江卫视（上星）,张一山、孙耀琦、刘畅,乡土
远方的山楂树,54,2019,12月15日 扬州二套（首播），2020年3月12日 央视八套（上星）,吴其江、马藜、林家川（客串:闫学晶）,乡土
孤独者,30,2012,12月16日 沈阳经济频道,李幼斌、何明翰、史兰芽、刘雨鑫、关雪盈,年代
一路繁华开,36,2018,12月19日 南京教育科技频道,王斑、曹颖、丁勇岱,乡土
戒毒风云,37,2014,12月19日 青岛新闻综合频道,李倩、何政军,涉案
绝境铸剑,38,2019,12月26日 央视一套,张桐、彭冠英、王乐君、潘雨辰、贾宏伟、何蓝逗（客串:郝蕾、侯京健、迟帅、朱泳腾）,革命
破局1950,48,2018,12月27日 上海电视剧频道（首播），2020年1月1日 央视八套（上星）,何明瀚、苗圃,谍战
雪豹2,,,2019年7月开机，停工时间不明[c],张铭恩、胡军、吴刚（客串:文章）,革命
